DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200100501,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,0030,01,Central,0163,1,121,"RAPE, FORCIBLE",0413 1822 1262 1415,25,F,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,121,998,,,700 S  BROADWAY,,34.0452,-118.2534
200100556,01/20/2020 12:00:00 AM,01/20/2020 12:00:00 AM,0400,01,Central,0141,1,121,"RAPE, FORCIBLE",1414 1402 1415 0444 0527 0537 0400 0507 1822,19,F,B,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,300 S  FIGUEROA                     ST,,34.0542,-118.2566
200104866,01/13/2020 12:00:00 AM,01/12/2020 12:00:00 AM,0900,01,Central,0138,1,121,"RAPE, FORCIBLE",1218 0507 0519 0527 1415 2004 0400 0500 1822 1402,37,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,998,,,SAN PEDRO                    ST,4TH                          ST,34.0458,-118.243
200105745,01/26/2020 12:00:00 AM,01/26/2020 12:00:00 AM,0135,01,Central,0164,1,121,"RAPE, FORCIBLE",1402 1415 1206 1219 0520 0527 1822 0522 0510 0409,25,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,600    HARLEM                       PL,,34.0456,-118.2504
200106411,02/04/2020 12:00:00 AM,02/04/2020 12:00:00 AM,0400,01,Central,0153,1,121,"RAPE, FORCIBLE",1822 1415 0527 1402 2034,40,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,300 W  7TH                          ST,,34.0467,-118.252
200204072,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1940,02,Rampart,0247,1,122,"RAPE, ATTEMPTED",1402 0334 0432 0500 2002 0913 1817 2001 0907,47,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200,KNIFE WITH BLADE 6INCHES OR LESS,AO,Adult Other,122,998,,,500 S  BURLINGTON                   AV,,34.0588,-118.2706
201914427,09/12/2020 12:00:00 AM,09/11/2020 12:00:00 AM,2100,19,Mission,1911,1,121,"RAPE, FORCIBLE",1817 0913 1402 0527 1820,44,F,H,505,MOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,998,,,13100    SAN FERNANDO                 RD,,34.3148,-118.4888
200204388,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,1900,02,Rampart,0212,1,121,"RAPE, FORCIBLE",2048 1218 1206 2002 0910 2004 1415 1822 0527 1402,19,F,W,906,MTA - RED LINE - VERMONT/BEVERLY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,998,,,VERMONT,BEVERLY,34.0763,-118.2917
200204893,01/18/2020 12:00:00 AM,01/16/2020 12:00:00 AM,0730,02,Rampart,0218,1,121,"RAPE, FORCIBLE",0913 0507 0527 0542 1402 1820 1218,65,F,W,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,1600    BELLEVUE                     AV,,34.0699,-118.2596
200205347,01/28/2020 12:00:00 AM,01/28/2020 12:00:00 AM,0230,02,Rampart,0257,1,121,"RAPE, FORCIBLE",0527 1402 0913 0536 2034 1210 2002 1206 1820 2004,27,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,121,998,,,600    LUCAS                        AV,,34.0552,-118.2675
201212928,05/17/2020 12:00:00 AM,05/17/2020 12:00:00 AM,0210,12,77th Street,1245,1,121,"RAPE, FORCIBLE",1822 1402 1415 1259 2034 0537 1817 0409 0527 0547,14,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,121,812,,,1200 W  65TH                         PL,,33.9799,-118.2958
200205585,02/02/2020 12:00:00 AM,02/01/2020 12:00:00 AM,2000,02,Rampart,0218,1,121,"RAPE, FORCIBLE",0913 1820 1300 2033 0536 0534 0537 1206 2002,21,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,1600    BELLEVUE                     AV,,34.0699,-118.2596
